id,lon,lat,name
1,-97.5,27.0,wind_rose_W-97.50_N27.00.png
2,-97.25,27.75,wind_rose_W-97.25_N27.75.png
3,-97.25,27.5,wind_rose_W-97.25_N27.50.png
4,-97.25,27.25,wind_rose_W-97.25_N27.25.png
5,-97.25,27.0,wind_rose_W-97.25_N27.00.png
6,-97.0,28.0,wind_rose_W-97.00_N28.00.png
7,-97.25,26.75,wind_rose_W-97.25_N26.75.png
8,-97.0,27.75,wind_rose_W-97.00_N27.75.png
9,-97.75,24.5,wind_rose_W-97.75_N24.50.png
10,-97.25,26.5,wind_rose_W-97.25_N26.50.png
11,-97.75,24.25,wind_rose_W-97.75_N24.25.png
12,-97.5,25.25,wind_rose_W-97.50_N25.25.png
13,-97.25,26.25,wind_rose_W-97.25_N26.25.png
14,-96.75,28.25,wind_rose_W-96.75_N28.25.png
15,-97.5,25.0,wind_rose_W-97.50_N25.00.png
16,-97.75,24.0,wind_rose_W-97.75_N24.00.png
17,-97.25,26.0,wind_rose_W-97.25_N26.00.png
18,-96.75,28.0,wind_rose_W-96.75_N28.00.png
19,-97.5,24.75,wind_rose_W-97.50_N24.75.png
20,-97.25,25.75,wind_rose_W-97.25_N25.75.png
21,-97.25,25.5,wind_rose_W-97.25_N25.50.png
22,-97.25,25.25,wind_rose_W-97.25_N25.25.png
23,-96.5,28.25,wind_rose_W-96.50_N28.25.png
24,-96.25,28.5,wind_rose_W-96.25_N28.50.png
25,-96.25,28.25,wind_rose_W-96.25_N28.25.png
26,-96.0,28.5,wind_rose_W-96.00_N28.50.png
27,-95.75,28.75,wind_rose_W-95.75_N28.75.png
28,-95.5,28.75,wind_rose_W-95.50_N28.75.png
29,-95.25,29.0,wind_rose_W-95.25_N29.00.png
30,-95.0,29.25,wind_rose_W-95.00_N29.25.png
31,-94.75,29.5,wind_rose_W-94.75_N29.50.png
32,-94.75,29.25,wind_rose_W-94.75_N29.25.png
33,-94.5,29.5,wind_rose_W-94.50_N29.50.png
34,-94.25,29.75,wind_rose_W-94.25_N29.75.png
35,-94.25,29.5,wind_rose_W-94.25_N29.50.png
36,-94.0,29.75,wind_rose_W-94.00_N29.75.png
37,-93.75,29.75,wind_rose_W-93.75_N29.75.png
38,-93.5,29.75,wind_rose_W-93.50_N29.75.png
39,-93.25,29.75,wind_rose_W-93.25_N29.75.png
40,-93.0,29.75,wind_rose_W-93.00_N29.75.png
41,-92.75,29.75,wind_rose_W-92.75_N29.75.png
42,-92.75,29.5,wind_rose_W-92.75_N29.50.png
43,-92.5,29.5,wind_rose_W-92.50_N29.50.png
44,-92.25,29.75,wind_rose_W-92.25_N29.75.png
45,-92.25,29.5,wind_rose_W-92.25_N29.50.png
46,-92.0,29.75,wind_rose_W-92.00_N29.75.png
47,-92.0,29.5,wind_rose_W-92.00_N29.50.png
48,-91.75,29.75,wind_rose_W-91.75_N29.75.png
49,-91.75,29.5,wind_rose_W-91.75_N29.50.png
50,-91.5,29.75,wind_rose_W-91.50_N29.75.png
51,-91.5,29.5,wind_rose_W-91.50_N29.50.png
52,-91.25,29.5,wind_rose_W-91.25_N29.50.png
53,-91.25,29.25,wind_rose_W-91.25_N29.25.png
54,-91.0,29.25,wind_rose_W-91.00_N29.25.png
55,-90.75,29.25,wind_rose_W-90.75_N29.25.png
56,-90.5,29.25,wind_rose_W-90.50_N29.25.png
57,-90.25,29.5,wind_rose_W-90.25_N29.50.png
58,-90.25,29.25,wind_rose_W-90.25_N29.25.png
59,-90.25,29.0,wind_rose_W-90.25_N29.00.png
60,-90.0,29.5,wind_rose_W-90.00_N29.50.png
61,-90.0,29.25,wind_rose_W-90.00_N29.25.png
62,-89.75,30.25,wind_rose_W-89.75_N30.25.png
63,-89.75,30.0,wind_rose_W-89.75_N30.00.png
64,-89.75,29.75,wind_rose_W-89.75_N29.75.png
65,-89.75,29.5,wind_rose_W-89.75_N29.50.png
66,-89.75,29.25,wind_rose_W-89.75_N29.25.png
67,-89.5,30.25,wind_rose_W-89.50_N30.25.png
68,-89.5,30.0,wind_rose_W-89.50_N30.00.png
69,-89.5,29.75,wind_rose_W-89.50_N29.75.png
70,-89.5,29.5,wind_rose_W-89.50_N29.50.png
71,-89.25,30.5,wind_rose_W-89.25_N30.50.png
72,-89.5,29.25,wind_rose_W-89.50_N29.25.png
73,-89.25,30.25,wind_rose_W-89.25_N30.25.png
74,-89.5,29.0,wind_rose_W-89.50_N29.00.png
75,-89.25,30.0,wind_rose_W-89.25_N30.00.png
76,-89.25,29.75,wind_rose_W-89.25_N29.75.png
77,-89.0,30.5,wind_rose_W-89.00_N30.50.png
78,-89.25,29.25,wind_rose_W-89.25_N29.25.png
79,-89.0,30.25,wind_rose_W-89.00_N30.25.png
80,-89.25,29.0,wind_rose_W-89.25_N29.00.png
81,-88.75,30.5,wind_rose_W-88.75_N30.50.png
82,-89.0,29.25,wind_rose_W-89.00_N29.25.png
83,-88.75,30.25,wind_rose_W-88.75_N30.25.png
84,-89.0,29.0,wind_rose_W-89.00_N29.00.png
85,-88.75,30.0,wind_rose_W-88.75_N30.00.png
86,-88.75,29.75,wind_rose_W-88.75_N29.75.png
87,-88.5,30.5,wind_rose_W-88.50_N30.50.png
88,-88.5,30.25,wind_rose_W-88.50_N30.25.png
89,-88.25,30.5,wind_rose_W-88.25_N30.50.png
90,-88.25,30.25,wind_rose_W-88.25_N30.25.png
91,-88.0,30.75,wind_rose_W-88.00_N30.75.png
92,-88.0,30.5,wind_rose_W-88.00_N30.50.png
93,-88.0,30.25,wind_rose_W-88.00_N30.25.png
94,-87.75,30.25,wind_rose_W-87.75_N30.25.png
95,-87.5,30.5,wind_rose_W-87.50_N30.50.png
96,-87.5,30.25,wind_rose_W-87.50_N30.25.png
97,-87.25,30.5,wind_rose_W-87.25_N30.50.png
98,-87.25,30.25,wind_rose_W-87.25_N30.25.png
99,-87.0,30.5,wind_rose_W-87.00_N30.50.png
100,-87.0,30.25,wind_rose_W-87.00_N30.25.png
101,-86.75,30.5,wind_rose_W-86.75_N30.50.png
102,-86.5,30.5,wind_rose_W-86.50_N30.50.png
103,-86.25,30.5,wind_rose_W-86.25_N30.50.png
104,-86.25,30.25,wind_rose_W-86.25_N30.25.png
105,-86.0,30.5,wind_rose_W-86.00_N30.50.png
106,-86.0,30.25,wind_rose_W-86.00_N30.25.png
107,-85.75,30.25,wind_rose_W-85.75_N30.25.png
108,-85.75,30.0,wind_rose_W-85.75_N30.00.png
109,-85.5,30.25,wind_rose_W-85.50_N30.25.png
110,-85.5,30.0,wind_rose_W-85.50_N30.00.png
111,-85.5,29.75,wind_rose_W-85.50_N29.75.png
112,-85.25,30.0,wind_rose_W-85.25_N30.00.png
113,-85.25,29.75,wind_rose_W-85.25_N29.75.png
114,-85.25,29.5,wind_rose_W-85.25_N29.50.png
115,-85.0,29.75,wind_rose_W-85.00_N29.75.png
116,-85.0,29.5,wind_rose_W-85.00_N29.50.png
117,-84.75,29.75,wind_rose_W-84.75_N29.75.png
118,-84.5,30.0,wind_rose_W-84.50_N30.00.png
119,-84.5,29.75,wind_rose_W-84.50_N29.75.png
120,-84.25,30.0,wind_rose_W-84.25_N30.00.png
121,-84.0,30.0,wind_rose_W-84.00_N30.00.png
122,-83.75,30.0,wind_rose_W-83.75_N30.00.png
123,-83.5,29.75,wind_rose_W-83.50_N29.75.png
124,-83.5,29.5,wind_rose_W-83.50_N29.50.png
125,-83.25,29.5,wind_rose_W-83.25_N29.50.png
126,-83.25,29.25,wind_rose_W-83.25_N29.25.png
127,-83.0,29.25,wind_rose_W-83.00_N29.25.png
128,-82.75,29.25,wind_rose_W-82.75_N29.25.png
129,-82.75,29.0,wind_rose_W-82.75_N29.00.png
130,-82.75,28.75,wind_rose_W-82.75_N28.75.png
131,-82.75,28.5,wind_rose_W-82.75_N28.50.png
132,-82.75,28.25,wind_rose_W-82.75_N28.25.png
133,-82.75,28.0,wind_rose_W-82.75_N28.00.png
134,-82.75,27.75,wind_rose_W-82.75_N27.75.png
135,-82.75,27.5,wind_rose_W-82.75_N27.50.png
136,-82.5,28.0,wind_rose_W-82.50_N28.00.png
137,-82.5,27.75,wind_rose_W-82.50_N27.75.png
138,-82.5,27.5,wind_rose_W-82.50_N27.50.png
139,-82.5,27.25,wind_rose_W-82.50_N27.25.png
140,-82.5,27.0,wind_rose_W-82.50_N27.00.png
141,-81.5,31.0,wind_rose_W-81.50_N31.00.png
142,-81.5,30.75,wind_rose_W-81.50_N30.75.png
143,-81.25,31.75,wind_rose_W-81.25_N31.75.png
144,-81.5,30.5,wind_rose_W-81.50_N30.50.png
145,-82.25,27.0,wind_rose_W-82.25_N27.00.png
146,-81.25,31.5,wind_rose_W-81.25_N31.50.png
147,-81.5,30.25,wind_rose_W-81.50_N30.25.png
148,-82.25,26.75,wind_rose_W-82.25_N26.75.png
149,-81.25,31.25,wind_rose_W-81.25_N31.25.png
150,-81.0,32.0,wind_rose_W-81.00_N32.00.png
151,-81.0,31.75,wind_rose_W-81.00_N31.75.png
152,-82.0,27.0,wind_rose_W-82.00_N27.00.png
153,-81.25,30.25,wind_rose_W-81.25_N30.25.png
154,-82.0,26.75,wind_rose_W-82.00_N26.75.png
155,-81.25,30.0,wind_rose_W-81.25_N30.00.png
156,-80.75,32.25,wind_rose_W-80.75_N32.25.png
157,-82.0,26.5,wind_rose_W-82.00_N26.50.png
158,-81.25,29.75,wind_rose_W-81.25_N29.75.png
159,-80.75,32.0,wind_rose_W-80.75_N32.00.png
160,-81.25,29.5,wind_rose_W-81.25_N29.50.png
161,-80.5,32.5,wind_rose_W-80.50_N32.50.png
162,-80.5,32.25,wind_rose_W-80.50_N32.25.png
163,-81.75,26.5,wind_rose_W-81.75_N26.50.png
164,-81.75,26.25,wind_rose_W-81.75_N26.25.png
165,-81.0,29.5,wind_rose_W-81.00_N29.50.png
166,-81.75,26.0,wind_rose_W-81.75_N26.00.png
167,-81.0,29.25,wind_rose_W-81.00_N29.25.png
168,-81.0,29.0,wind_rose_W-81.00_N29.00.png
169,-80.25,32.5,wind_rose_W-80.25_N32.50.png
170,-81.5,26.0,wind_rose_W-81.50_N26.00.png
171,-80.0,32.75,wind_rose_W-80.00_N32.75.png
172,-81.5,25.75,wind_rose_W-81.50_N25.75.png
173,-80.75,29.0,wind_rose_W-80.75_N29.00.png
174,-80.0,32.5,wind_rose_W-80.00_N32.50.png
175,-81.75,24.5,wind_rose_W-81.75_N24.50.png
176,-80.75,28.75,wind_rose_W-80.75_N28.75.png
177,-79.75,32.75,wind_rose_W-79.75_N32.75.png
178,-81.5,24.75,wind_rose_W-81.50_N24.75.png
179,-81.25,25.75,wind_rose_W-81.25_N25.75.png
180,-81.5,24.5,wind_rose_W-81.50_N24.50.png
